50, 100, 3, 295, 295, 95, 0, 95, 5
50, 100, 6, 539, 539, 80, 0, 80, 13
50, 100, 9, 850, 850, 87, 0, 87, 13
50, 100, 12, 1004, 1004, 69, 0, 69, 16
50, 100, 15, 1299, 1299, 79, 0, 79, 21
50, 100, 18, 1387, 1387, 63, 0, 63, 16
50, 100, 21, 1530, 1530, 57, 0, 57, 19
50, 100, 24, 1992, 1992, 74, 0, 74, 26
50, 100, 27, 1328, 1328, 28, 0, 28, 23
50, 100, 30, 2528, 2528, 74, 0, 74, 26
50, 100, 33, 2138, 2138, 51, 0, 51, 25
50, 100, 36, 2176, 2176, 36, 0, 36, 17
50, 100, 39, 3194, 3194, 74, 0, 74, 26
50, 100, 42, 2628, 2628, 42, 0, 42, 26
50, 100, 45, 2120, 2120, 26, 0, 26, 17
50, 100, 48, 1892, 1892, 22, 0, 22, 22
50, 100, 51, 2938, 2938, 33, 0, 33, 30
50, 100, 54, 3296, 3296, 44, 0, 44, 31
50, 100, 57, 3635, 3635, 44, 0, 44, 37
50, 100, 60, 4714, 4714, 66, 0, 66, 34
50, 100, 63, 3602, 3602, 38, 0, 38, 35
50, 100, 66, 4114, 4114, 46, 0, 46, 42
50, 100, 69, 2658, 2658, 15, 0, 15, 32
50, 100, 72, 1514, 1514, 2, 0, 2, 20
50, 100, 75, 1205, 1205, 0, 0, 0, 18
50, 100, 78, 2742, 2742, 8, 0, 8, 30
50, 100, 81, 3013, 3013, 17, 0, 17, 22
50, 100, 84, 4353, 4353, 35, 0, 35, 31
50, 100, 87, 4256, 4256, 31, 0, 31, 28
50, 100, 90, 5751, 5751, 55, 0, 55, 27
50, 100, 93, 3591, 3591, 17, 0, 17, 27
50, 100, 96, 3825, 3825, 21, 0, 21, 25
50, 100, 99, 3668, 3668, 15, 0, 15, 26
50, 100, 102, 4778, 4778, 32, 0, 32, 28
50, 100, 105, 4526, 4526, 32, 0, 32, 28
50, 100, 108, 3313, 3313, 17, 0, 17, 16
